
str_no_string|NO STRING!
str_surname_32| “ 鹰 眼 ” {s50}
str_surname_33|不 公 的 {s50}
str_surname_34|勇 猛 的 {s50}
str_surname_35|狡 猾 的 {s50}
str_surname_36| “ 懦 夫 ” {s50}
str_surname_37|聪 明 的 {s50}
str_surname_38| “ 快 腿 ” {s50}
str_surname_39| “ 乐 手 ” {s50}
str_surname_40|大 胆 的 {s50}
str_surname_41|{s50}· 加 凡 那
str_surname_42| “ 橡 盾 ” {s50}
str_surname_43|{s50}· 克 洛 维 尔
str_surname_44|{s50}· 霍 里 安 
str_surname_45|{s50}· 特 莱 德 赛 
str_surname_46|{s50}· 沃 尔 夫 加 
str_surname_47|{s50}· 坦 德 尔 
str_surname_48|{s50}· 棼 岚 
str_surname_49|{s50}· 拉 文 拉 德 
str_surname_50|{s50}· 阿 汶 穆 尔 
str_surname_51|{s50}· 三 西 尔 
str_surname_53|{s50}· 南 桥 
str_surname_54|{s50}· 北 桥 
str_surname_55|{s50}· 西 斯 特 罗 姆 
str_surname_56|{s50}· 福 克 斯 沃 斯 
str_surname_57|{s50}· 格 莱 斯 汉 姆 
str_surname_58|{s50}· 乌 德 拉 克 
str_surname_59|{s50}· 斯 皮 尔 德 兰 
str_surname_60|{s50}· 伊 万 斯 沃 德 
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|杀 敌 数 :{reg1}
str_number_of_troops_wounded_reg1|伤 敌 数 :{reg1}
str_number_of_own_troops_killed_reg1|击 杀 友 军 :{reg1}
str_number_of_own_troops_wounded_reg1|击 伤 友 军 :{reg1}
str_retreat|撤 退 ！ 
str_siege_continues|继 续 战 斗 … … 
str_casualty_display|我 方 伤 亡 :{s10}^敌 方 伤 亡 :{s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}点 伤 害 ， 
str_quest_log_updated|任 务 日 志 更 新 … … 
str_banner_selection_text|你 被 赋 予 携 带 旗 帜 的 权 利 ， 旗 帜 是 身 份 与 荣 耀 的 象 征 ， 你 想 选 择 哪 种 旗 帜 ？ 
str_retirement_text_1|你 厌 倦 了 在 潘 德 上 这 永 无 止 息 的 战 斗 ， 日 积 月 累 的 伤 势 也 开 始 影 响 你 的 生 活 作 息 。 你 花 费 了 大 把 青 春 岁 月 与 金 钱 在 军 旅 中 ， 但 花 完 了 卖 掉 装 备 与 武 器 的 钱 之 后 ， 你 已 经 一 贫 如 洗 。 幸 而 由 于 {s9}领 主 的 慈 善 ， 你 得 到 了 一 份 为 他 清 理 马 厩 与 庭 院 的 工 作 。 你 过 去 的 荣 光 确 已 成 了 过 去 式 ， 即 使 往 事 仍 历 历 在 目 ， 你 也 不 再 提 起 。 毕 竟 谁 会 想 听 一 个 半 残 废 的 老 兵 滔 滔 不 绝 地 提 起 当 年 勇 呢 ？
str_retirement_text_2|你 的 人 生 哲 学 就 是 今 朝 有 酒 今 朝 醉 ， 毕 竟 在 你 上 了 年 纪 之 前 一 直 过 的 是 在 刀 口 上 舔 血 的 日 子 。 当 花 完 了 积 蓄 后 你 加 入 了 红 色 兄 弟 会 ， 成 为 了 一 个 身 分 低 微 的 成 员 ， 为 那 些 你 曾 看 不 起 的 盗 匪 们 跑 腿 。 偶 尔 ， 会 带 点 苦 涩 的 心 情 反 思 目 前 生 活 的 讽 刺 意 味 。 曾 有 的 理 想 与 抱 负 早 已 烟 消 云 散 ， 你 也 明 白 你 现 在 要 抢 的 是 你 曾 誓 言 保 护 的 那 些 普 通 百 姓 。 现 在 你 已 深 陷 犯 罪 生 涯 的 泥 淖 。 当 {s9}的 处 刑 者 要 将 绞 绳 收 紧 之 时 ， 你 笑 了 出 来 。 绞 刑 架 ， 竟 成 了 你 人 生 的 终 点 ， 罪 名 :谋 杀 。 
str_retirement_text_3|比 起 你 过 去 当 {s13}的 日 子 ， 现 在 可 说 是 差 的 远 了 。 你 曾 经 带 领 的 部 下 们 不 是 死 于 战 场 ， 就 是 四 散 而 去 。 然 而 ， 你 的 举 手 投 足 仍 保 有 往 日 的 风 采 。 现 在 的 你 作 为 一 个 身 无 分 文 的 流 浪 者 ， 从 一 个 酒 馆 漂 流 到 另 一 个 酒 馆 ， 靠 讲 些 没 人 相 信 的 战 争 故 事 来 讨 口 酒 喝 。 
str_retirement_text_4|你 已 厌 倦 了 战 争 ， 并 在 {s7}开 始 了 你 的 退 休 生 活 ， 你 曾 在 这 里 击 退 过 占 领 村 庄 的 土 匪 集 团 ， 心 怀 感 恩 的 存 民 很 快 的 接 纳 了 你 成 为 村 庄 的 一 份 子 。 你 的 生 活 就 是 做 点 农 活 以 及 训 练 村 中 的 民 兵 。 你 {reg63?娶 了 村 里 的 一 个 女 孩 :嫁 给 了 村 里 的 一 个 小 伙 子 }， 并 抚 养 了 一 群 不 断 缠 着 你 叙 述 过 往 戎 马 生 涯 的 朴 实 农 家 子 弟 。 这 里 的 生 活 如 此 平 和 ， 以 至 于 当 你 的 长 子 说 要 从 军 时 你 甚 至 于 还 对 他 怒 吼 。 你 在 {s7}中 以 一 名 村 庄 长 老 的 身 分 度 过 了 余 生 ， 享 受 着 久 违 的 平 静 与 朴 实 的 家 庭 生 活 。 
str_retirement_text_5|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 不 过 还 是 够 用 来 在 {s9}买 个 小 酒 馆 ， 你 微 笑 的 回 想 ， 理 论 上 你 已 经 买 了 这 旅 馆 两 次 了 － 前 面 那 次 算 是 个 意 外 － 你 支 付 了 大 笔 的 赔 偿 金 给 前 任 老 板 以 赔 偿 部 下 对 酒 馆 造 成 的 损 坏 。 {s9}中 的 驻 军 常 常 来 你 的 酒 馆 消 费 ， 尽 管 将 信 将 疑 ， 他 们 依 旧 对 你 那 些 过 往 以 寡 击 众 的 战 役 叙 述 感 到 非 常 有 兴 趣 。 你 渐 渐 的 富 裕 起 来 ， 业 务 甚 至 扩 增 至 能 为 领 主 主 办 宴 会 或 婚 礼 。 你 的 旅 馆 在 潘 德 上 可 说 是 家 喻 户 晓 ， 成 就 甚 至 更 甚 于 你 过 去 当 {s13}的 时 候 所 能 达 到 的 。 
str_retirement_text_6|作 为 一 个 {s13}， 在 你 纵 横 潘 德 时 ， 时 常 在 村 镇 之 间 顺 道 做 些 买 卖 ， 据 此 你 发 现 你 有 些 生 意 头 脑 。 你 与 许 多 敌 人 战 斗 过 ， {s15}和 并 将 所 得 投 资 在 {s9}的 商 人 － 你 曾 护 送 过 他 的 商 队 － 那 里 。 现 在 在 {s9}有 几 间 仓 库 是 属 于 你 的 ， 你 的 商 队 往 来 潘 德 全 岛 ， 商 船 满 载 贵 重 商 品 往 来 潘 德 与 巴 克 利 之 间 。 你 和 那 商 人 的 {reg63?女 儿 :儿 子 }结 婚 ， 并 将 你 们 的 孩 子 培 养 成 一 位 优 秀 的 小 商 人 。 偶 尔 ， 借 助 酒 兴 ， 你 会 与 你 的 客 户 或 商 业 伙 伴 聊 聊 你 过 去 当 军 人 时 遇 到 的 一 些 轶 事 ， 然 而 往 事 的 回 忆 渐 渐 褪 去 ， 现 在 你 的 贸 易 帝 国 的 盛 名 已 然 远 胜 于 你 身 为 {s13}时 的 战 争 事 迹 。 
str_retirement_text_7|尽 管 是 两 手 空 空 的 来 到 潘 德 ， 从 一 名 默 默 无 名 的 冒 险 者 起 步 ， 你 已 功 成 名 就 ， 家 财 万 贯 。 身 为 {s9}的 领 主 ， 你 证 明 了 你 精 于 管 理 之 道 :下 放 权 力 、各 司 其 职 、审 慎 监 督 。 由 于 采 用 低 税 率 并 鼓 励 投 资 的 方 式 ， 你 的 封 地 极 为 繁 荣 ， 收 入 丰 厚 。 这 些 实 绩 让 你 在 潘 德 上 成 为 了 一 个 受 欢 迎 的 领 主 。 当 你 必 须 重 新 披 挂 上 阵 时 ， 你 感 觉 自 己 又 再 次 回 到 了 年 轻 岁 月 ， 挥 舞 着 武 器 亦 能 让 你 热 血 沸 腾 。 不 过 ， 比 起 战 争 ， 现 在 你 更 倾 向 于 狩 猎 或 是 处 理 商 业 纠 纷 。 总 的 来 说 ， 你 对 于 现 在 的 生 活 感 到 非 常 满 意 ， 对 于 退 休 的 决 定 ， 你 从 不 后 悔 。 
str_retirement_text_8|尽 管 一 度 被 誉 为 马 迪 甘 预 言 中 的 英 雄 ， 你 并 未 完 成 统 一 潘 德 的 大 业 。 不 过 在 击 退 了 许 多 支 欲 将 潘 德 毁 于 战 火 之 中 的 大 军 {s15}后 ， 你 仍 旧 被 称 为 潘 德 的 英 雄 。 和 平 降 临 潘 德 ， 你 对 于 妄 图 扰 动 这 局 面 的 人 可 说 是 毫 不 留 情 。 你 谨 慎 的 维 持 与 国 内 外 的 友 好 关 系 ， 并 不 懈 的 注 意 任 何 未 来 可 能 对 潘 德 造 成 威 胁 的 不 安 定 因 素 。 毫 无 独 裁 之 意 ， 你 仅 仅 留 下 {s8}作 为 采 邑 ， 并 将 其 余 的 部 分 赏 赐 给 你 那 些 忠 诚 的 封 臣 与 伙 伴 ， 偶 尔 聚 聚 ， 聊 聊 往 日 荣 光 。 不 过 所 有 人 都 同 意 的 一 点 就 是 :比 起 多 年 前 战 乱 不 休 的 状 况 ， 你 所 带 来 的 和 平 对 于 潘 德 来 说 ， 就 是 最 理 想 的 状 态 。 
str_retirement_text_9|尽 管 一 度 被 誉 为 马 迪 甘 预 言 中 的 英 雄 ， 你 并 未 完 成 统 一 潘 德 的 大 业 。 你 奋 斗 不 休 ， 击 退 了 一 波 波 入 侵 的 大 军 ， {s15}但 依 旧 无 法 成 为 潘 德 之 王 。 封 地 辽 阔 ， 你 的 财 富 比 起 你 当 {s13}时 所 能 幻 想 到 的 都 还 要 多 。 曾 经 不 拿 你 当 回 事 的 领 主 们 现 在 对 你 可 说 是 恭 敬 有 加 － － 毕 竟 你 现 在 早 已 远 远 的 超 越 了 他 们 ， 也 的 确 对 他 们 握 有 生 杀 大 权 。 你 以 公 正 无 私 的 铁 腕 治 理 国 家 。 那 过 去 仅 能 糊 口 的 士 兵 生 涯 对 你 而 言 仿 佛 幻 梦 一 场 。 
str_retirement_text_10|整 个 潘 德 终 于 臣 服 于 你 之 下 了 。 你 被 称 为 马 迪 甘 预 言 中 统 一 潘 德 的 英 雄 ！ 你 击 退 了 任 何 妄 图 入 侵 潘 德 的 军 队 、镇 压 了 所 有 腐 败 贪 权 的 领 主 、并 将 其 他 所 谓 的 “ 国 王 ” 们 拉 下 王 座 。 你 的 任 何 希 冀 必 将 实 现 ， 言 语 便 是 这 岛 上 绝 对 的 律 法 ！ 幸 而 ， 你 乃 是 公 正 严 明 之 统 治 者 ， 无 滥 权 之 虞 。 即 使 所 有 奇 珍 异 宝 只 要 一 声 令 下 便 可 取 来 ， 你 仍 时 时 不 忘 你 创 业 之 初 、 白 手 起 家 的 卑 微 处 境 。 褒 奖 忠 贞 、 迅 惩 不 法 ， 由 此 ， 你 得 到 了 人 们 由 衷 的 敬 爱 。 然 而 创 业 维 艰 ， 守 成 更 是 不 易 ， 你 明 白 国 家 要 衰 退 是 多 么 容 易 的 事 情 。 无 有 一 刻 松 懈 ， 睿 智 的 双 眼 洞 察 着 国 内 外 所 有 情 势 ， 谨 慎 地 将 危 机 根 除 于 萌 芽 状 态 。 偶 尔 ， 你 会 登 至 城 楼 之 上 ， 望 向 南 方 ， 仿 佛 能 看 到 那 将 从 潘 德 南 方 袭 来 的 大 浪 … … 
str_loot_village|攻 击 无 辜 的 村 民 
str_steal_from_villagers|偷 窃 贫 穷 村 民 的 东 西 
str_rob_caravan|抢 夺 商 队 
str_sell_slavery|买 卖 人 口 
str_men_hungry|部 队 缺 少 食 物 
str_men_unpaid|积 欠 薪 饷 
str_excessive_casualties|浪 掷 我 方 士 兵 的 鲜 血 
str_surrender|投 降 
str_flee_battle|逃 跑 
str_cheat_in_battle|在 战 斗 中 作 弊
str_pay_bandits|付 过 路 费 给 寻 常 盗 匪 
str_fail_quest|一 个 以 荣 誉 担 保 的 任 务 失 败 了 
str_squander_money|托 管 的 钱 被 浪 费 了 
str_murder_merchant|我 们 将 自 己 陷 于 冷 血 的 谋 杀 
str_round_up_serfs|代 表 贵 族 围 捕 奴 隶 
str_battle_fate_1|战 斗 最 激 烈 的 时 刻 我 们 分 散 了 
str_battle_fate_2|受 了 重 伤 后 躺 着 等 死 
str_battle_fate_3|我 被 击 昏 了 
str_battle_fate_4|我 被 俘 虏 并 悬 出 赎 金 
str_battle_fate_5|被 俘 虏 后 不 久 找 了 个 机 会 逃 跑 了 
str_npc_morale_report|我 {s6}你 选 择 的 同 伴 ， {s7}你 的 领 导 风 格 ， {s8}现 在 总 体 的 情 况 。 
str_happy|喜 欢 
str_content|满 足 于 
str_concerned|有 点 担 忧 
str_not_happy|一 点 都 不 喜 欢 
str_miserable|极 端 厌 恶 
str_morale_reg1|士 气 :{reg1}
str_bar_enthusiastic|　　 　　　 　　 　　　 　　 　　　 　　 　　　 热 情 
str_bar_content|　　 　　　 　　 　　　 　　 　　　 满 足 
str_bar_weary|　　 　　　 　　 　　　 厌 倦 
str_bar_disgruntled|　　 　　　 不 满 
str_bar_miserable|厌 恶 
str_here_plus_space|这 里 
str_npc_adonja_intro|嗯 ？ 想 找 我 攀 谈 ？ 我 现 在 没 心 情 谈 论 琐 碎 的 八 卦 ， 讲 重 点 。 
str_npc_leslie_intro|你 好 ， {reg63?先 生 :女 士 }， 是 否 需 要 一 个 精 通 采 购 和 补 给 等 各 种 后 勤 事 务 的 军 需 官 ？ 
str_npc_ansen_intro|您 好 ， 大 人 。 
str_npc_riva_intro|你 好 ， {reg63?先 生 :女 士 }。 我 是 来 自 长 河 镇 的‘黑 狼’丽 娃 ， 你 一 定 听 说 过 我 的 名 字 吧 ？ 
str_npc_kassim_intro|你 好 ， {reg63?兄 弟 :美 女 }， 要 不 要 来 点 茶 ， 跟 独 自 在 外 漂 泊 的 人 说 说 话 ？ 
str_npc_lethaldiran_intro|你 好 ， 人 类 ， 你 是 不 是 正 好 需 要 诺 多 的 服 务 ？ 
str_npc_jocelyn_intro|盯 着 我 干 什 么 ， {reg63?先 生 :女 士 }？ 难 道 你 从 没 见 过 骑 士 吗 ？ 还 是 你 以 为 这 里 是 动 物 园 ？ 
str_npc_alistair_intro|我 需 要 喝 一 杯 稳 定 情 绪 。 刚 才 在 城 外 看 到 一 个 死 去 的 女 孩 ， 她 的 心 脏 被 人 挖 了 出 来 … … 
str_npc_rayne_intro|幸 会 ， {reg63?先 生 :女 士 }， 要 不 要 一 起 喝 一 杯 ？ 
str_npc_julia_intro|您 好 ， 队 长 大 人 。 我 叫 朱 莉 娅 ， 以 前 混 思 源 城 的 。 
str_npc_frederick_intro|您 好 ， 指 挥 官 (外 语 )。 潘 德 上 的 战 乱 怎 样 了 ？
str_npc_ediz_intro|向 您 致 敬 (外 语 )， 队 长 大 人 。 
str_npc_sara_intro|你 好 ， 队 长 ， 大 家 都 叫 我 “ 狐 狸 精 ” 莎 拉 。 
str_npc_donavan_intro|有 什 么 事 ， 陌 生 人 ？ 我 对 酒 馆 八 卦 没 什 么 耐 心 。 
str_npc_diev_intro|如 果 我 需 要 同 伴 ， 我 早 就 能 找 到 了 。 也 就 是 说 ， 我 不 会 找 你 这 样 的 。 
str_npc_alyssa_intro|你 好 ， 嘶 … … 你 是 不 嘶 … … 正 在 为 你 的 团 队 寻 找 熟 练 的 嘶 … … 兵 ？ 
str_npc_roland_intro|日 安 ， 队 长 {reg63?先 生 :女 士 }， 我 很 高 兴 在 此 认 识 您 。 
str_npc_kaverra_intro|你 想 做 什 么 ？ 
str_npc_sigismund_intro|天 杀 的 你 要 干 什 么 ， 陌 生 人 ？ 走 远 点 ， 让 悲 伤 的 人 独 自 抚 平 伤 痛 。 
str_npc_boadice_intro|哎 呀 哎 呀 ， 终 于 有 个 看 得 顺 眼 的 战 士 了 ， 我 还 以 为 再 也 找 不 到 了 。 我 一 直 在 寻 找 一 个 值 得 追 随 的 队 长 ， 但 也 不 是 随 便 什 么 人 都 够 格 。 
str_npc_adonja_intro_response_1|是 ， 没 错 。 你 看 上 去 像 一 个 正 在 找 活 的 战 士 。 
str_npc_leslie_intro_response_1|有 可 能 。 你 是 军 队 里 的 后 勤 官 还 是 打 算 改 换 门 庭 的 商 人 ？ 
str_npc_ansen_intro_response_1|你 好 ， 以 阁 下 这 般 派 头 ， 在 此 地 逗 留 怕 是 有 些 屈 尊 了 。 
str_npc_riva_intro_response_1|从 没 听 说 过 ， 你 刚 说 你 叫 什 么 ？ 
str_npc_kassim_intro_response_1|谢 谢 。 我 能 有 这 个 荣 幸 知 道 贵 姓 大 名 吗 ？ 又 是 什 么 风 把 你 吹 到 了 这 里 ？ 
str_npc_lethaldiran_intro_response_1|也 许 吧 ， 你 的 来 历 是 ？ 
str_npc_jocelyn_intro_response_1|我 只 是 很 好 奇 ， 像 你 这 样 一 个 骑 士 为 什 么 在 酒 馆 里 找 活 干 ， 先 生 ？ 
str_npc_alistair_intro_response_1|这 么 说 异 端 又 开 始 出 没 了 ， 混 蛋 ！ 
str_npc_rayne_intro_response_1|谢 谢 ， 我 很 乐 意 。 能 冒 昧 请 问 你 胸 甲 上 猎 鹰 纹 章 的 来 历 ？ 
str_npc_julia_intro_response_1|幸 会 ， 朱 莉 娅 。 你 为 什 么 会 离 开 思 源 城 ？ 
str_npc_frederick_intro_response_1|如 火 如 荼 中 ， 先 生 。 战 争 都 快 要 变 成 国 际 运 动 竞 赛 的 一 个 项 目 了 。 
str_npc_ediz_intro_response_1|你 已 远 离 辛 加 尔 故 土 ， 是 什 么 事 让 你 来 到 潘 德 ？ 
str_npc_sara_intro_response_1|你 好 ， 莎 拉 。 你 的 狐 狸 精 称 号 是 怎 么 来 的 ？ 
str_npc_donavan_intro_response_1|我 总 是 跟 酒 馆 里 的 旅 行 者 说 话 ， 我 喜 欢 听 各 种 传 闻 。 
str_npc_diev_intro_response_1|你 为 什 么 这 么 粗 鲁 和 反 社 会 ？ 
str_npc_alyssa_intro_response_1_|你 听 上 去 像 一 个 该 死 的 蛇 教 女 祭 司 ， 但 我 宁 愿 相 信 你 不 是 那 种 人 。 
str_npc_roland_intro_response_1|我 很 荣 幸 能 请 你 喝 一 杯 ， 骑 士 先 生 ， 能 知 道 你 的 名 字 吗 ？ 
str_npc_kaverra_intro_response_1|我 对 你 的 武 器 很 好 奇 ， 我 从 没 见 过 这 种 型 态 的 武 器 。 
str_npc_sigismund_intro_response_1|一 人 喝 酒 很 无 趣 。 你 为 什 么 在 这 时 候 买 醉 ， 而 不 是 跟 你 的 队 伍 在 一 起 ？ 
str_npc_boadice_intro_response_1|您 好 ， 小 姐 。 您 来 自 何 方 ？ 
str_npc_adonja_intro_response_2|你 错 了 ， 女 士 。 我 根 本 不 想 跟 你 说 话 。 
str_npc_leslie_intro_response_2|对 不 起 ， 我 的 队 伍 里 不 需 要 商 人 。 
str_npc_ansen_intro_response_2|抱 歉 ， 我 需 要 战 士 ， 而 不 是 半 吊 子 书 虫 。 
str_npc_riva_intro_response_2|谢 谢 了 ， 我 不 喜 欢 狼 。 再 说 ， 你 看 上 去 像 个 土 匪 。 
str_npc_kassim_intro_response_2|很 遗 憾 ， 我 现 在 另 有 要 事 。 
str_npc_lethaldiran_intro_response_2|走 开 ， 诺 多 小 子 ， 我 很 忙 。 
str_npc_jocelyn_intro_response_2|我 一 直 喜 欢 无 礼 地 盯 着 骑 士 ， 再 见 。 
str_npc_alistair_intro_response_2|那 女 孩 的 死 你 知 道 些 什 么 ？ 回 答 我 ！ 你 看 上 去 鬼 鬼 祟 祟 的 ！ 
str_npc_rayne_intro_response_2|谢 谢 你 ， 骑 士 先 生 ， 但 我 必 须 拒 绝 。 
str_npc_julia_intro_response_2|很 高 兴 遇 到 你 ， 但 我 太 忙 了 没 空 说 话 。 
str_npc_frederick_intro_response_2|我 只 知 道 人 尽 皆 知 的 事 情 :潘 德 正 因 好 战 分 子 而 生 灵 涂 炭 。 
str_npc_ediz_intro_response_2|我 很 想 停 下 来 和 你 聊 聊 ， 但 我 另 有 要 事 。 
str_npc_sara_intro_response_2|你 有 一 个 过 耳 不 忘 的 称 号 ， 莎 拉 ， 但 我 没 空 跟 你 说 话 。 
str_npc_donavan_intro_response_2|没 什 么 事 ， 抱 歉 。 
str_npc_diev_intro_response_2|我 不 会 跟 脾 气 暴 躁 的 笨 蛋 做 同 伴 ， 所 以 我 们 扯 平 了 ， 再 见 。 
str_npc_alyssa_intro_response_2|带 着 你 的 嘶 嘶 声 离 开 这 里 ， 我 不 喜 欢 你 们 这 些 肮 脏 的 邪 教 徒 。 
str_npc_roland_intro_response_2|很 荣 幸 在 此 遇 见 你 ， 骑 士 先 生 ， 但 我 现 在 得 回 队 伍 了 。 
str_npc_kaverra_intro_response_2|有 趣 的 武 器 ， 不 过 我 现 在 没 空 交 谈 。 
str_npc_sigismund_intro_response_2|不 是 个 健 谈 的 人 ， 对 吧 ？ 我 就 让 你 一 人 喝 闷 酒 好 了 。 
str_npc_boadice_intro_response_2|很 高 兴 遇 到 你 ， 祝 你 早 日 找 到 一 个 合 适 的 队 长 。 
str_npc_adonja_backstory_a|我 是 山 巅 的 安 冬 嘉 ， 来 自 迷 雾 山 最 优 秀 的 劫 掠 部 落 － － 猫 爪 。 我 们 的 部 落 一 直 被 维 约 维 斯 神 所 眷 顾 ， 至 少 我 以 前 这 样 认 为 。 我 的 父 亲 是 一 个 伟 大 的 部 落 酋 长 ， 教 我 如 何 战 斗 和 劫 掠 。 
str_npc_leslie_backstory_a|基 本 上 我 是 一 个 商 人 ， 名 字 则 是 莱 丝 莉 。 然 而 天 有 不 测 风 云 ， 我 被 迫 待 在 此 地 ， 现 在 几 乎 身 无 分 文 也 无 法 回 家 。 
str_npc_ansen_backstory_a|我 哪 有 什 么 地 位 可 言 ， 待 我 与 你 细 说 缘 由 ！ 对 了 ， 我 的 名 字 叫 安 森 ， 很 高 兴 见 到 你 ！ 
str_npc_riva_backstory_a|真 的 ？ 嗯 ， 你 的 无 知 也 是 情 有 可 原 。 你 看 上 去 不 像 潘 德 人 ， 应 该 是 来 自 远 方 的 异 邦 人 吧 ？ 
