
qstr_Next_Page|下 一 页 
qstr__Word_reaches_you_that_Mar|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 炽 热 钢 尘 军 团 ！ 
qstr__Word_reaches_you_that_Mari|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 菲 卡 维 亚 背 叛 者 ！ 
qstr__Word_reaches_you_that_Mariu|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 第 一 皇 家 卫 队 ！ 
qstr__Word_reaches_you_that_Marius|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 萨 尔 诺 征 战 队 ！ 
qstr__Word_reaches_you_that_Marius_|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 因 达 尔 制 裁 军 团 ！ 
qstr_Word_reaches_you_that_|有 消 息 称 ， 马 略 皇 帝 已 经 雇 佣 了 一 支 佣 兵 团 ！ 
qstr_{s1}_Merchant_Carava|{s1}商 队 
qstr__Being_Raided_|(被 掠 夺 中 )
qstr__Looted_|(已 被 洗 劫 )
qstr__Under_Siege_|(陷 入 包 围 )
qstr_The_village_of_{s1}_|村 庄 {s1}遭 到 了 {s2}的 掠 夺 。 
qstr_{s3}_is_no_longer_un|{s3}不 再 陷 入 包 围 了 。 
qstr_Small_bands_of_enemi|{s1}附 近 发 现 小 股 敌 军 。 
qstr_Enemy_patrols_spotte|{s1}附 近 发 现 敌 军 巡 逻 。 
qstr_Medium_sized_group_o|{s1}附 近 发 现 敌 军 中 等 规 模 部 队 。 
qstr_Significant_group_of|{s1}附 近 发 现 敌 军 大 部 队 。 
qstr_Army_of_enemies_spot|{s1}附 近 发 现 敌 军 集 团 。 
qstr_Large_army_of_enemie|{s1}附 近 发 现 大 规 模 敌 军 集 团 。 
qstr_Great_host_of_enemie|{s1}附 近 发 现 超 大 规 模 敌 军 集 团 。 
qstr_{s1}_has_been_besieg|{s1}受 到 {s3}的 {s2}包 围 。 
qstr__{s1}__{s11}:_{s14}|({s1}){s11}:{s14}
qstr_{s14}__{s21}_|{s14}({s21})
qstr_{s1}_is_the_new_mars|{s1}是 {s2}的 新 元 帅 。 
qstr_You_gained_{reg12}_r|你 获 得 了 {reg12}点 声 望 。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}点 声 望 。 
qstr_Your_relation_with_{|你 与 {s1}的 关 系 提 升 了 。 
qstr_Your_relation_with_{s|你 与 {s1}的 关 系 恶 化 了 。 
qstr_You_have_broken_the_|你 单 方 面 取 消 了 佣 兵 契 约 。 
qstr_You_gain_honor.|你 获 得 荣 誉 ！ 
qstr_You_lose_honor.|你 失 去 荣 誉 ！ 
qstr_The_{s1}_declared_wa|{s1}对 {s2}宣 战 。 
qstr_The_{s1}_and_the_{s2|{s1}与 {s2}达 成 和 平 协 议 。 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3}。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 经 :正 在 }赶 去 {s3}， 而 {reg4?她 :他 }{reg3? 之 前 :也 许 }在 {s4}{reg3? :附 近 }。 
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3? :正 }在 野 外 某 地 ， 而 {reg4?她 :他 }{reg3?之 前 :也 许 }在 {s3}{reg3? :附 近 }。 
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3}。 
qstr_{s2}_{reg3?was:has_b|{s2}被 敌 人 俘 虏 。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的 位 置 不 明 确 :我 不 知 道 {s2}在 哪 里 }。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 部 队 。 
qstr_You_now_owe_{reg2}_d|你 欠 {s1}{reg2}第 纳 尔 。 
qstr_Renown_value_for_thi|这 场 战 斗 的 声 望 评 估 为 {reg8}点 。 
qstr_You_have_run_into_a_|你 陷 入 了 埋 伏 之 中 ！ 
qstr_You_are_attacked_by_|你 被 一 群 强 盗 打 劫 了 ！ 
qstr_Holding|坚 守 中 
qstr_Following|随 行 中 
qstr_Charging|冲 锋 中 
qstr_Advancing|前 进 中 
qstr_Falling_Back|后 退 中 
qstr_Standing_Closer|聚 拢 中 
qstr_Spreading_Out|散 开 中 
qstr_Standing|站 立 中 
qstr_N/A|无 效 
qstr_Free|自 由 行 动 中 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|钝 击 武 器 
qstr_{s1}_Farmers|{s1}农 夫 
qstr_{s1}_Rebels|{s1}叛 军 
qstr_Given_by:_{s62}|给 予 人 :{s62}
qstr_Given_on:_{s60}|开 始 于 :{s60}
qstr_You_have_{reg0}_days|你 还 有 {reg0} 天 来 完 成 这 个 任 务 。 
qstr_This_quest_has_been_|任 务 完 成 ， 找 {s59}谈 话 来 结 束 这 个 任 务 。 
qstr_This_quest_has_been_s|任 务 成 功 完 成 ， 找 {s59}谈 话 来 索 取 你 的 报 酬 。 
qstr_This_quest_has_faile|任 务 失 败 ， 找 {s59}谈 话 来 解 释 情 况 。 
qstr_At_the_time_quest_wa|接 受 任 务 时 :^{s1}
qstr_{s5}_has_a_strength_|{s5}的 军 队 共 有 {reg1}人 。 
qstr_The_last_time_you_sa|上 一 次 你 见 到 {reg1?她 :他 }， {s1}
qstr_The_last_time_you_he|上 一 次 你 听 说 到 {reg1?她 :他 }， {s1}
qstr_Current_garrison_con|目 前 的 守 城 部 队 有 {reg5}。 ^共 有 {reg6}天 的 存 粮 。 
qstr_Impoverished|一 无 所 有 (1级 /13级 ) 
qstr_Extremely_Poor|极 度 贫 穷 (2级 /13级 ) 
qstr_Very_Poor|非 常 贫 穷 (3级 /13级 ) 
qstr_Poor|贫 穷 (4级 /13级 ) 
qstr_Very_Neglected|非 常 容 易 被 忽 视 (5级 /13级 ) 
qstr_Neglected|被 忽 视 (6级 /13级 ) 
qstr_Below_Average|低 于 平 均 (7级 /13级 ) 
qstr_Average|一 般 (8级 /13级 ) 
qstr_Above_Average|高 于 平 均 (9级 /13级 ) 
qstr_Prosperous|繁 荣 的 (10级 /13级 ) 
qstr_Wealthy|富 裕 的 (11级 /13级 ) 
qstr_Rich|富 有 的 (12级 /13级 ) 
qstr_Opulent|繁 茂 的 (13级 /13级 ) 
qstr_Loyal|忠 诚 的 
qstr_Devoted|忠 实 的 
qstr_Fond|喜 欢 的 
qstr_Gracious|亲 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|赞 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Wary|谨 慎 的 
qstr_Suspicious|猜 疑 的 
qstr_Hostile|敌 对 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|发 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|报 复 的 
qstr_Vengeful|复 仇 的 
qstr_{s1}_Militia_Patrol|{s1}民 兵 巡 逻 队 
qstr_Red_Brotherhood_from|{s1}红 色 兄 弟 会 
qstr_Red_Brotherhood_Thie|红 色 兄 弟 会 窃 贼 
qstr_Rogue_Red_Brotherhoo|红 色 兄 弟 会 流 氓 
qstr_Red_Brotherhood_Slav|红 色 兄 弟 会 奴 贩 
qstr_Singalian_Slavers|辛 加 尔 奴 贩 
qstr_Singalian_Raiders|辛 加 尔 劫 匪 
qstr_Rogue_Singalian_Slav|辛 加 尔 无 赖 奴 贩 
qstr_Singalian_Hunters|辛 加 尔 猎 手 
qstr_Snake_Cult_Patrol|拜 蛇 教 巡 逻 队 
qstr_Snake_Worshipers|拜 蛇 教 崇 拜 者 
qstr_Serpent_Coven|拜 蛇 教 女 巫 团 
qstr_Snake_Cult_Killers|拜 蛇 教 杀 手 
qstr_Snake_Cult_Virgin_Hu|拜 蛇 教 处 女 猎 人 
qstr_Snake_Cult_Kidnapper|拜 蛇 教 绑 架 者 
qstr_Snake_Cult_Warband|拜 蛇 教 战 团 
qstr_Snake_Cult_Doomrider|拜 蛇 教 末 日 骑 手 
qstr_Serpent_High_Prieste|拜 蛇 教 大 祭 司 
qstr_Snake_Cult_Raiders|拜 蛇 教 袭 击 者
qstr__A_wandering_travele|一 位 旅 行 者 告 诉 你 ， 马 尔 蒂 斯 和 她 的 恐 惧 军 团 将 在 帝 临 港 登 陆 ， 准 备 入 侵 潘 德 ！ 
qstr__A_wandering_traveler|一 位 旅 行 者 告 诉 你 ， 拜 蛇 教 徒 近 日 在 帝 临 港 登 陆 ， 准 备 入 侵 潘 德 ！
qstr_Heretic_Coven|异 端 女 巫 团 
qstr_Demon_Worshippers|恶 魔 崇 拜 者
qstr_Black_Coven|黑 暗 女 巫 团 
qstr_Death_Cult|死 亡 邪 教 
qstr_Heretic_Virgin_Hunte|异 端 处 女 猎 人 
qstr_Heretic_Sacrifice_Ki|异 端 祭 品 绑 架 者 
qstr__You_come_across_a_m|一 位 朝 圣 僧 侣 告 诉 你 ， 有 个 叫 做 “ 吞 噬 者 ” 艾 格 雷 姆 的 强 大 恶 魔 战 士 带 着 不 死 军 团 ， 准 备 入 侵 潘 德 ！ 
qstr__Word_reaches_you_that_a|有 消 息 称 ， 有 一 个 神 秘 的 女 先 知 三 人 组 和 她 们 的 追 随 者 大 军 正 在 乡 村 地 区 漫 游 ！
qstr__You_receive_word_fr|一 位 旅 行 者 告 诉 你 异 端 已 设 法 召 唤 出 了 恶 魔 战 士 ， 并 以 此 为 中 心 组 建 了 一 支 庞 大 的 军 队 ！ 
qstr_Inquisition_Patrol|审 判 庭 巡 逻 队 
qstr_Interrogation_Band|审 判 庭 战 团 
qstr_Inquisition_Missiona|审 判 庭 传 教 士 
qstr_Inquisition_Devoted|审 判 庭 虔 信 者 
qstr_Inquisition_Heathen_|审 判 庭 异 教 猎 人 
qstr_Inquisition_Crusader|审 判 庭 圣 战 士 
qstr_Zealot_Purgers|宗 教 狂 热 者 
qstr_Inquisition_Holy_Gua|审 判 庭 神 圣 卫 队 
qstr_Heresy_Hunters|异 端 猎 人 
qstr_Inquisition_Heretic_|审 判 庭 异 端 猎 人 
qstr__Word_reaches_you_that_H|有 消 息 称 ， 圣 裁 官 拉 斯 穆 · 德 法 提 卡 亲 自 率 领 一 支 大 军 来 猎 杀 异 端 ， 并 欲 向 不 文 明 的 德 夏 诸 部 落 进 行 “ 传 教 ” 活 动 。 
qstr__A_wandering_traveler_|一 位 旅 行 者 告 诉 你 ， 审 判 庭 组 织 了 一 支 大 军 ， 并 对 信 奉 异 教 的 德 夏 诸 部 落 发 动 了 一 场 圣 战 ！ 
qstr__Word_reaches_you_that_Buri|有 消 息 称 ， “ 篡 位 者 ” 布 里 吉 在 托 巴 附 近 召 集 了 一 支 军 队 ！ 
qstr__Word_reaches_you_that_Osw|有 消 息 称 ， 弗 勒 的 欧 斯 伍 德 已 召 集 他 旗 下 的 各 大 冒 险 团 ， 组 成 了 一 支 大 军 ！ 
qstr__Word_reaches_you_that_Bor|有 消 息 称 ， “ 乌 鸦 爵 士 ” 波 里 斯 已 经 组 建 了 一 支 鸦 矛 骑 士 战 队 ！ 
qstr__Word_reaches_you_Me|有 消 息 称 ， 米 尔 甘 · 基 里 克 已 经 把 名 为“狮 鹫 之 刃”的 冒 险 团 召 集 到 一 处 了 ！ 
qstr__Word_reaches_you_that_t|有 消 息 称 ， 一 个 叫 做“ 喧 闹 者 ” 阿 拉 里 克 的 麻 烦 鬼 带 领 一 支 逃 兵 在 光 啸 湾 饮 酒 、 狂 欢 ， 享 受 着 免 费 的 麦 酒 和 娱 乐 活 动 ！ 
qstr__Word_reaches_you_that_Koda|有 消 息 称 ， “ 铁 剑 ” 库 丹 召 集 了 一 大 批 贵 族 和 骑 士 ， 攻 击 沿 路 的 所 有 人 ！ 
qstr__Word_reaches_you_that_Sh|有 消 息 称 ， 沙 拉 凡 谢 赫 已 经 集 结 了 他 的 沙 漠 勇 士 ， 在 德 夏 草 原 四 处 袭 扰 ！ 
qstr__Word_reaches_you_Syla|有 消 息 称 ， 希 拉 · 尤 扎 斯 ， 一 位 著 名 的 帝 国 不 朽 者 ， 召 集 了 一 支 精 锐 军 团 ， 在 博 识 城 附 近 煽 动 人 们 叛 变 ！ 
qstr__You_come_across_a_mo|一 位 朝 圣 僧 侣 告 诉 你 ， 一 位 强 大 的 凡 斯 凯 瑞 首 领 率 领 着 一 支 军 队 在 西 海 岸 登 陆 ！ 
qstr__You_overhear_two_yo|你 无 意 中 听 到 ， 两 个 农 民 正 在 谈 论 一 个 领 导 农 民 起 义 的 冒 险 英 雄 ！ 
qstr__You_have_the_feelin|你 感 到 某 人 或 某 种 存 在 正 在 窥 伺 你 ， 你 的 侦 查 技 能 +1 。 
qstr__You_suddenly_realiz|你 忽 然 觉 得 四 周 一 片 死 寂 ， 绝 对 的 无 声 ， 仿 佛 突 然 耳 聋 一 般 。 你 的 统 御 技 能 +1 。 
qstr__Suddenly_you_feel_u|忽 然 你 心 里 的 警 钟 响 个 不 停 ， 甚 至 感 觉 到 脖 子 后 面 的 汗 毛 立 了 起 来 ！ 你 的 教 练 技 能 +1 。 
qstr__As_if_in_a_daze_you|大 梦 初 醒 ， 意 识 蒙 眬 地 环 顾 四 周 ， 回 想 起 你 刚 做 的 梦 ， 梦 中 你 与 一 位 长 发 杏 眼 的 女 子 交 谈 。 她 说 了 一 件 很 重 要 的 事 ， 但 是 无 论 你 怎 么 回 忆 ， 都 记 不 起 来 她 说 了 什 么 。 你 的 战 术 技 能 +1。 
qstr__There_is_a_strangel|你 的 脑 中 响 起 一 支 奇 怪 的 催 眠 曲 调 ， 你 竭 力 回 忆 ， 但 记 不 起 何 时 在 哪 里 听 过 它 。曲 子 不 断 重 复 ， 你 无 法 摆 脱 它 。如 果 你 可 以 记 起 曲 子 的 演 奏 者 ， 无 疑 有 很 大 的 意 义 。你 的 工 程 学 技 能 +1。
qstr__You_were_idly_watch|当 你 还 是 孩 子 的 时 候 ， 你 就 开 始 漫 不 经 心 地 看 着 天 空 中 变 化 万 千 的 云 彩 。有 些 云 朵 就 像 一 队 在 天 空 上 驰 骋 的 弓 骑 兵 。突 然 ， 天 空 中 的 一 发 箭 矢 射 到 你 脚 前 。你 的 骑 射 技 能 +1。
qstr__In_the_sound_of_a_g|一 阵 风 声 呼 啸 而 过 ， 你 似 乎 听 到 风 中 有 人 在 轻 声 言 语 ， 但 却 听 不 清 楚 说 的 是 什 么 。你 屏 气 凝 神 ， 聆 听 风 声 ， 但 是 声 音 渐 渐 消 散 了 。风 声 仿 佛 在 向 你 预 示 着 什 么 ， 可 你 始 终 无 法 弄 明 白 其 中 的 含 义 。你 的 俘 虏 管 理 技 能 +1。
qstr__As_you_travel_you_s|在 旅 途 中 ， 你 双 目 眺 望 地 平 线 。发 现 地 平 线 上 ， 一 个 模 糊 的 物 体 在 运 动 。你 看 不 清 它 是 什 么 ， 只 见 它 如 同 薄 雾 一 般 ， 在 树 前 一 闪 而 过 。你 的 武 器 掌 握 技 能 +1。
qstr__Last_night_you_drea|昨 晚 你 梦 见 你 骑 着 一 匹 骏 马 ， 这 匹 马 比 风 还 快 ， 即 使 你 永 远 骑 着 它 ， 它 也 不 会 疲 劳 。你 上 身 趴 在 它 的 脖 子 上 ， 马 的 鬃 毛 轻 抚 着 你 的 脸 颊 。醒 后 ， 你 回 想 着 这 个 梦 ， 想 知 道 它 向 你 预 示 了 什 么 。你 的 骑 术 +1。
qstr__Carried_by_the_wind|一 个 悠 扬 的 曲 调 随 风 而 来 ， 是 用 诺 多 精 灵 的 长 笛 演 奏 的 。但 你 没 看 到 任 何 人 。如 果 你 找 到 了 那 位 精 灵 ， 你 肯 定 会 被 他 的 音 乐 完 全 迷 住 。正 当 你 扫 视 四 周 时 ， 乐 声 停 止 了 。你 的 急 救 技 能 +1。
qstr__A_chill_runs_down_y|一 股 寒 气 贯 穿 你 的 脊 骨 ， 你 颤 抖 不 止 。肯 定 有 人 在 你 未 来 的 坟 墓 上 踩 过 。你 的 跑 动 技 能 +1。
qstr__You_have_the_oddest|你 有 种 诡 异 的 感 觉 ， 仿 佛 有 东 西 幽 灵 般 地 跟 在 你 的 身 后 ， 注 视 着 你 的 肩 膀 ！ 你 转 身 看 到 一 个 男 人 ， 他 在 跟 着 你 。他 用 那 只 冰 冷 而 粗 糙 的 手 触 摸 着 你 的 脸 颊 。你 的 辎 重 管 理 技 能 +1。
qstr__As_you_travel_somet|在 旅 行 的 时 候 ， 你 发 现 草 丛 中 有 个 东 西 在 闪 烁 着 金 属 的 亮 光 ， 拾 起 它 一 看 ， 居 然 是 一 把 十 分 奇 特 的 弯 曲 匕 首 。它 的 年 代 十 分 古 老 。你 的 手 术 技 能 +1。
qstr_You_overhear_talk_of|你 听 说 死 亡 崇 拜 掠 夺 者 以 阿 兹 · 达 哈 卡 的 名 义 肆 意 掠 夺 着 这 片 土 地 ！ 
qstr_Questing_Lords|探 路 中 的 领 主 
qstr_Errant_Knights|赶 路 的 骑 士 
qstr_Patrolling_Knights|巡 逻 的 骑 士 
qstr_Errant_Lords|赶 路 的 领 主 
qstr_Secular_Knights|世 俗 骑 士 
qstr_Knight_Company|骑 士 战 队 
qstr_Order_Knights|骑 士 团 
qstr_Knight_Adventurers|骑 士 冒 险 家 
qstr_Questing_Honour_Knig|探 路 中 的 荣 誉 骑 士 
qstr_Loyal_Knights|忠 诚 的 骑 士 
qstr_Questing_Knights|探 路 中 的 骑 士 
qstr_Lost_Knight_Patrol|走 失 的 骑 士 巡 逻 队 
qstr_Clandestine_Patrol|秘 密 巡 逻 队 
qstr_Jatu_Black_Hand_Trib|迦 图“黑 手”部 落 
qstr_Jatu_Thunder_Tribe_W|迦 图“雷 霆”部 落 
qstr_Jatu_Horsemen|迦 图 骑 手 
qstr_Jatu_Raiding_Party|迦 图 掠 夺 队 
qstr__A_traveling_peddler|一 位 旅 行 商 人 向 你 打 招 呼 并 告 诉 你 ， 迦 图 各 部 落 已 经 团 结 在 一 起 ， 并 组 成 了 一 支 强 大 的 军 队 ！ 
qstr__A_traveling_peddler_|一 位 旅 行 商 人 向 你 打 招 呼 并 告 诉 你 ， 迦 图 各 部 落 已 团 结 在“ 破 坏 者 ” 朱 达 的 旗 下 ！ 
qstr__A_traveling_peddler_h|一 位 旅 行 商 人 向 你 打 招 呼 并 告 诉 你 ， 迦 图 各 部 落 已 团 结 在“ 军 阀 ” 扎 卡 尔 的 旗 下 ！ 
qstr_Mystmountain_Raiders|迷 雾 山 入 侵 者 
qstr_Blackroot_Clan_Warri|“ 黑 根 ”部 落 武 士 
qstr_Blood_Valley_Clan_Ra|“ 血 谷 ”部 落 入 侵 者 
qstr_Snow_Wolf_Clan_Warri|“ 雪 狼 ”部 落 武 士 
qstr_Bear_Tooth_Clan_Raid|“ 熊 牙 ”部 落 入 侵 者 
qstr_A_farmer_hails_you_a|一 位 农 夫 向 你 打 招 呼 并 告 诉 你 ， 一 位 强 大 的 英 雄 统 一 了 迷 雾 山 各 部 落 ， 开 始 大 举 入 侵 潘 德 ！
qstr_A_farmer_hails_you_an|一 位 农 夫 向 你 打 招 呼 并 告 诉 你 ， “ 嗜 杀 者 ” 沃 夫 伯 德 统 一 了 迷 雾 山 各 部 落 ， 开 始 大 举 入 侵 潘 德 ！
qstr_Jarl_Haggar_Three_Fi|“ 三 指 ”哈 格 首 领 的 凡 斯 凯 瑞 入 侵 者 
qstr_Jarl_Hrolf_Ironbreek|“ 铁 马 裤 ”哈 勒 夫 首 领 的 入 侵 者 
qstr_Jarl_Ivan_the_Bersar|“ 狂 战 士 ”伊 安 首 领 的 血 色 入 侵 者 
qstr_Jarl_Thon_Redsword_s|“ 红 剑 ”索 恩 首 领 的 凡 斯 凯 瑞 入 侵 者 
qstr_Jarl_Ragnar_the_Drag|“ 龙 之 卡 尔 ”首 领 的 狂 战 士 
qstr_Jarl_Gunder_Goldtoot|“ 金 牙 ”刚 德 的 残 暴 入 侵 者 
qstr_Queen_Agnus_One_eye_|“ 独 眼 ”阿 格 努 斯 女 王 的 魔 鬼 海 盗 团 
qstr_Vanskerry_Raiders|凡 斯 凯 瑞 入 侵 者 
qstr_Noldor_House_of_Aeld|诺 多“ 游 侠 ”阿 尔 达 利 安 家 族 
qstr_Noldor_House_of_Ithi|诺 多“ 侦 察 兵 ”伊 尔 斯 兰 迪 尔 家 族 
qstr_Noldor_House_of_Cael|诺 多“ 游 侠 ”凯 勒 冯 伊 尔 家 族 
qstr_Noldor_House_of_Faer|诺 多“ 战 士 ”费 尔 葛 斯 安 尔 家 族 
qstr_Noldor_Rangers|诺 多 游 侠 
qstr_Noldor_Patrol|诺 多 巡 逻 队 
qstr__You_receive_word_fro|旅 行 者 告 诉 你 ， 诺 多 精 灵 领 主 阿 尔 达 利 安 ， 聚 集 了 大 量 士 兵 ， 攻 击 任 何 胆 敢 进 入 长 河 镇 森 林 的 人 类 ！ 
qstr__You_receive_word_from|旅 行 者 告 诉 你 ， 诺 多 精 灵 领 主 伊 斯 兰 迪 尔 ， 聚 集 了 大 量 士 兵 ， 准 备 将 迦 图 赶 回 他 们 的 大 草 原 。 
qstr_Sarleon|烈 狮 人 
qstr_Eastern|东 方 人 
qstr_Ravenstern|凛 鸦 人 
qstr_Northern|北 方 人 
qstr_D_Shar|德 夏 人 
qstr_Foreign|异 邦 人 
qstr_Fierdsvain|菲 尔 兹 威 人 
qstr_Western|西 方 人 
qstr_Baccus|巴 克 斯 人 
qstr_Southern|南 方 人 
qstr_Red_Fletcher_Hunting|红 箭 猎 手 团 
qstr_Order_of_the_Boar_Ou|野 猪 非 法 骑 士 团 
qstr_Outlaw_Order_of_the_|猫 头 鹰 非 法 骑 士 团 
qstr_House_of_Morgan_Rene|摩 根 家 族 背 叛 者 
qstr_Outlaw_Merchant_Hous|非 法 商 人 费 林 家 族 
qstr_Outlaw_Melitine_Adve|马 里 廷 不 法 冒 险 者 
qstr_Deathwind_Renegades|死 亡 之 风 背 叛 者 
qstr_Renegade_Omen_Seeker|预 兆 搜 寻 背 叛 者 
qstr_Outlaw_Skyblade_Assa|天 空 之 刃 刺 客 团 
qstr_Disgraced_Zelshai_Re|无 耻 的 扎 夏 叛 乱 部 众 
qstr_Outlaw_Barclay_Noble|巴 克 利 不 法 贵 族 
qstr_Veccavian_Slavers|菲 卡 维 亚 奴 贩 
qstr_First_Blood_Hunting_|猎 命 杀 手 团 
qstr_Outlaw_Heretic_Svarg|斯 瓦 根 家 族 的 异 端 不 法 者 
qstr_Outlaw_Iceguard_Rang|寒 冰 卫 士 游 侠 不 法 者 
qstr_Renegade_Ravenstern_|叛 乱 的 凛 鸦 境 混 血 骑 士 
qstr_Outlaw_Knights_of_th|猎 鹰 骑 士 团 不 法 者 
qstr_Outlaw_Snow_Lion_Kni|雪 狮 骑 士 团 不 法 者 
qstr_Renegades_of_House_B|布 莱 斯 纳 契 家 族 背 叛 者 
qstr_Ebony_Knights_Huntin|乌 木 护 手 骑 士 狩 猎 精 锐 
qstr_House_Gnaeus_Outlaw_|格 涅 乌 斯 家 族 不 法 骑 士 
qstr_Renegade_Centurions_|背 叛 的 铁 环 百 夫 长 
qstr_Outlaw_Merchant_House|非 法 商 人 马 涅 乌 斯 家 族 (虐 狗 者 )
qstr_Escaped_Gladiators|逃 亡 剑 斗 士 
qstr_Red_Brotherhood_Elve|红 色 兄 弟 会 精 灵 奴 隶 商 队 
qstr_Ebony_Gauntlet_Priso|乌 木 护 手 囚 车 队 
qstr_Grave_Robber_Corpse_|盗 墓 者 运 尸 队 
qstr_Outlawed_Adventure_C|非 法 冒 险 团 
qstr_Renegade_Adventure_C|叛 变 冒 险 团 
qstr_Treasure_Seekers|寻 宝 者 
qstr_Treasure_Hunters|探 宝 者 
qstr_Adventure_Company|冒 险 团 
qstr_Bounty_Hunter_Advent|赏 金 猎 人 冒 险 团 
qstr__Word_reaches_you_a_|有 消 息 称 来 了 一 大 队 来 自 巴 克 利 的 不 法 兵 团 ， 他 们 在 乡 间 大 肆 抢 掠 。 
qstr__Word_reaches_you_Ob|有 消 息 称 ， 一 位 来 自 梅 滕 海 姆 的 前 巴 克 利 将 军 ， 海 因 里 希 团 长 ， 带 领 了 一 支 大 军 登 陆 潘 德 ！ 
qstr__Word_reaches_you_Th|有 消 息 称 ， 从 菲 卡 维 亚 来 了 一 支 叛 变 猎 巫 团 ， 他 们 正 在 追 捕 一 个 皇 室 流 亡 者 。 
qstr__Word_reaches_you_Se|有 消 息 称 来 自 马 里 廷 帝 国 的 卡 斯 帕 斯 陛 下 突 然 率 领 一 支 大 军 登 陆 潘 德 ！ 
qstr_Singalian_Warband|辛 加 尔 战 队 
qstr_Singalian_Temptress_|辛 加 尔 荡 妇 巡 逻 队 
qstr_Mountain_Outlaws|不 法 山 民 
qstr_Mystmountain_Outcast|迷 雾 山 放 逐 者 
qstr_Renegade_Mountain_Me|叛 变 山 民 
qstr_Mountain_Hermits|山 间 隐 居 者 
qstr_Forest_Outlaws|丛 林 歹 徒 
qstr_Brigands|土 匪 
qstr_Robbers|强 盗 
qstr_Desperate_Highwaymen|绝 望 的 拦 路 强 盗 
qstr_Highwaymen|拦 路 强 盗 
qstr_Forest_Bandits|绿 林 强 盗 
qstr_Forest_Robbers|丛 林 劫 匪 
qstr_Thieves|小 偷 
qstr_D_Shar_Yusafzai_Raid|德 夏 尤 萨 夫 入 侵 者 
qstr_D_Shar_Afridi_Warrio|德 夏 阿 夫 里 迪 勇 士 
qstr_D_Shar_Turkmani_Ride|德 夏 土 库 曼 尼 骑 手 
qstr_D_Shar_Pathani_Tribe|德 夏 帕 塔 尼 族 骑 手 
qstr_D_Shar_Pansjiri_Warr|德 夏 潘 斯 吉 里 勇 士 
qstr__Yusafzai_Omen_Seeke|尤 萨 夫 预 兆 搜 寻 者 
qstr_Death_Seekers|死 亡 搜 寻 者 
qstr_D_Shar_Pansjiri_Omen|德 夏 潘 斯 吉 里 预 兆 搜 寻 者 
qstr_D_Shar_Raiders|德 夏 入 侵 者 
qstr_Desperate_Outcasts|绝 望 的 流 放 者 
qstr_Foraging_Looters|劫 粮 匪 徒 
qstr_Hungry_Bandits|饥 饿 的 强 盗 
qstr_Desperate_Dirt_Bandi|绝 望 的 土 匪 
qstr_Angry_Outcasts|愤 怒 的 流 放 者 
qstr_Desperate_Refugees|绝 望 的 难 民 
qstr_Rabble|暴 民 
qstr_Hungry_Refugees|饥 饿 的 难 民 
qstr_Angry_Peasants|愤 怒 的 农 民 
qstr_Red_Brotherhood_Hunt|红 色 兄 弟 会 猎 人 
qstr_Barclay_Assassins|巴 克 利 刺 客 
qstr_Murdering_Outlaw|杀 人 匪 徒 
qstr_Murdering_Arsonist|纵 火 杀 人 犯 
qstr_Murdering_Barclay_No|巴 克 利 贵 族 杀 人 犯 
qstr_Hired_Hunters|受 雇 的 猎 人 
qstr_Hired_Sky_Blade_Assa|受 雇 的 天 空 之 刃 刺 客 
qstr_Hired_Assassins|受 雇 的 刺 客 
qstr_Red_Brotherhood_Kill|红 色 兄 弟 会 杀 手 
qstr_Mine|矿 井 
qstr_A_mine_creates_direc|基 于 当 地 已 探 勘 矿 产 价 值 提 高 经 济 ， 繁 荣 +10。 
qstr_Prospecting|探 勘 
qstr_Hires_and_sends_out_|派 出 探 勘 小 队 在 附 近 寻 找 矿 脉 。 
qstr_Herbalist|草 药 师 
qstr_A_herbalist_helps_th|可 保 持 聚 落 健 康 ， 繁 荣 +10， 地 区 关 系 +5。 
qstr_Market|市 场 
